--- Atoms: 
USER_CREDIBILITY('154') Truth=[0.91]
USER_CREDIBILITY('155') Truth=[0.36]
USER_CREDIBILITY('52') Truth=[0.88]
USER_CREDIBILITY('51') Truth=[0.89]
USER_CREDIBILITY('50') Truth=[0.86]
USER_CREDIBILITY('56') Truth=[0.91]
USER_CREDIBILITY('55') Truth=[0.85]
USER_CREDIBILITY('54') Truth=[0.54]
USER_CREDIBILITY('53') Truth=[0.89]
USER_CREDIBILITY('59') Truth=[0.9]
USER_CREDIBILITY('58') Truth=[0.9]
USER_CREDIBILITY('57') Truth=[0.89]
USER_CREDIBILITY('160') Truth=[0.91]
USER_CREDIBILITY('161') Truth=[0.9]
USER_CREDIBILITY('162') Truth=[0.9]
USER_CREDIBILITY('167') Truth=[0.59]
USER_CREDIBILITY('168') Truth=[0.89]
USER_CREDIBILITY('169') Truth=[0.91]
USER_CREDIBILITY('163') Truth=[0.89]
USER_CREDIBILITY('164') Truth=[0.9]
USER_CREDIBILITY('165') Truth=[0.9]
USER_CREDIBILITY('166') Truth=[0.85]
USER_CREDIBILITY('63') Truth=[0.84]
USER_CREDIBILITY('62') Truth=[0.84]
USER_CREDIBILITY('61') Truth=[0.84]
USER_CREDIBILITY('60') Truth=[0.84]
USER_CREDIBILITY('67') Truth=[0.89]
USER_CREDIBILITY('66') Truth=[0.85]
USER_CREDIBILITY('65') Truth=[0.84]
USER_CREDIBILITY('64') Truth=[0.83]
USER_CREDIBILITY('69') Truth=[0.91]
USER_CREDIBILITY('68') Truth=[0.91]
USER_CREDIBILITY('170') Truth=[0.91]
USER_CREDIBILITY('171') Truth=[0.89]
USER_CREDIBILITY('172') Truth=[0.9]
USER_CREDIBILITY('173') Truth=[0.9]
USER_CREDIBILITY('178') Truth=[0.9]
USER_CREDIBILITY('179') Truth=[0.91]
USER_CREDIBILITY('174') Truth=[0.9]
USER_CREDIBILITY('175') Truth=[0.89]
USER_CREDIBILITY('176') Truth=[0.91]
USER_CREDIBILITY('177') Truth=[0.9]
USER_CREDIBILITY('70') Truth=[0.91]
USER_CREDIBILITY('74') Truth=[0.91]
USER_CREDIBILITY('73') Truth=[0.91]
USER_CREDIBILITY('72') Truth=[0.91]
USER_CREDIBILITY('71') Truth=[0.62]
USER_CREDIBILITY('78') Truth=[0.91]
USER_CREDIBILITY('77') Truth=[0.91]
USER_CREDIBILITY('76') Truth=[0.9]
USER_CREDIBILITY('75') Truth=[0.91]
USER_CREDIBILITY('79') Truth=[0.91]
USER_CREDIBILITY('181') Truth=[0.86]
USER_CREDIBILITY('182') Truth=[0.85]
USER_CREDIBILITY('183') Truth=[0.91]
USER_CREDIBILITY('184') Truth=[0.91]
USER_CREDIBILITY('180') Truth=[0.86]
USER_CREDIBILITY('101') Truth=[0.89]
USER_CREDIBILITY('189') Truth=[0.91]
USER_CREDIBILITY('102') Truth=[0.9]
USER_CREDIBILITY('103') Truth=[0.9]
USER_CREDIBILITY('104') Truth=[0.9]
USER_CREDIBILITY('185') Truth=[0.9]
USER_CREDIBILITY('186') Truth=[0.9]
USER_CREDIBILITY('187') Truth=[0.9]
USER_CREDIBILITY('100') Truth=[0.88]
USER_CREDIBILITY('188') Truth=[0.91]
USER_CREDIBILITY('109') Truth=[0.91]
USER_CREDIBILITY('81') Truth=[0.89]
USER_CREDIBILITY('80') Truth=[0.91]
USER_CREDIBILITY('105') Truth=[0.83]
USER_CREDIBILITY('85') Truth=[0.88]
USER_CREDIBILITY('106') Truth=[0.89]
USER_CREDIBILITY('84') Truth=[0.89]
USER_CREDIBILITY('107') Truth=[0.88]
USER_CREDIBILITY('83') Truth=[0.85]
USER_CREDIBILITY('108') Truth=[0.91]
USER_CREDIBILITY('82') Truth=[0.9]
USER_CREDIBILITY('89') Truth=[0.9]
USER_CREDIBILITY('88') Truth=[0.88]
USER_CREDIBILITY('87') Truth=[0.88]
USER_CREDIBILITY('86') Truth=[0.87]
PRODUCT_QUALITY('37') Truth=[0.89]
PRODUCT_QUALITY('36') Truth=[0.17]
PRODUCT_QUALITY('35') Truth=[0.9]
PRODUCT_QUALITY('34') Truth=[0.21]
PRODUCT_QUALITY('39') Truth=[0.9]
PRODUCT_QUALITY('38') Truth=[0.9]
PRODUCT_QUALITY('73') Truth=[0.89]
PRODUCT_QUALITY('72') Truth=[0.89]
PRODUCT_QUALITY('71') Truth=[0.89]
PRODUCT_QUALITY('70') Truth=[0.9]
PRODUCT_QUALITY('77') Truth=[0.89]
PRODUCT_QUALITY('33') Truth=[0.88]
PRODUCT_QUALITY('76') Truth=[0.89]
PRODUCT_QUALITY('32') Truth=[0.9]
PRODUCT_QUALITY('75') Truth=[0.9]
PRODUCT_QUALITY('31') Truth=[0.9]
PRODUCT_QUALITY('74') Truth=[0.9]
PRODUCT_QUALITY('30') Truth=[0.88]
PRODUCT_QUALITY('48') Truth=[0.89]
PRODUCT_QUALITY('47') Truth=[0.89]
PRODUCT_QUALITY('46') Truth=[0.9]
PRODUCT_QUALITY('45') Truth=[0.89]
PRODUCT_QUALITY('49') Truth=[0.88]
PRODUCT_QUALITY('40') Truth=[0.91]
PRODUCT_QUALITY('44') Truth=[0.9]
PRODUCT_QUALITY('43') Truth=[0.89]
PRODUCT_QUALITY('42') Truth=[0.88]
PRODUCT_QUALITY('41') Truth=[0.89]
PRODUCT_QUALITY('59') Truth=[0.9]
PRODUCT_QUALITY('15') Truth=[0.89]
PRODUCT_QUALITY('58') Truth=[0.9]
PRODUCT_QUALITY('14') Truth=[0.9]
PRODUCT_QUALITY('57') Truth=[0.9]
PRODUCT_QUALITY('13') Truth=[0.88]
PRODUCT_QUALITY('56') Truth=[0.89]
PRODUCT_QUALITY('12') Truth=[0.89]
PRODUCT_QUALITY('19') Truth=[0.9]
PRODUCT_QUALITY('18') Truth=[0.2]
PRODUCT_QUALITY('17') Truth=[0.89]
PRODUCT_QUALITY('16') Truth=[0.19]
PRODUCT_QUALITY('51') Truth=[0.89]
PRODUCT_QUALITY('50') Truth=[0.89]
PRODUCT_QUALITY('11') Truth=[0.89]
PRODUCT_QUALITY('55') Truth=[0.89]
PRODUCT_QUALITY('10') Truth=[0.89]
PRODUCT_QUALITY('54') Truth=[0.91]
PRODUCT_QUALITY('53') Truth=[0.89]
PRODUCT_QUALITY('52') Truth=[0.9]
PRODUCT_QUALITY('26') Truth=[0.9]
PRODUCT_QUALITY('69') Truth=[0.89]
PRODUCT_QUALITY('25') Truth=[0.9]
PRODUCT_QUALITY('68') Truth=[0.9]
PRODUCT_QUALITY('24') Truth=[0.89]
PRODUCT_QUALITY('67') Truth=[0.89]
PRODUCT_QUALITY('23') Truth=[0.89]
PRODUCT_QUALITY('29') Truth=[0.18]
PRODUCT_QUALITY('28') Truth=[0.89]
PRODUCT_QUALITY('27') Truth=[0.9]
PRODUCT_QUALITY('62') Truth=[0.89]
PRODUCT_QUALITY('61') Truth=[0.9]
PRODUCT_QUALITY('60') Truth=[0.9]
PRODUCT_QUALITY('9') Truth=[0.9]
PRODUCT_QUALITY('66') Truth=[0.88]
PRODUCT_QUALITY('22') Truth=[0.88]
PRODUCT_QUALITY('65') Truth=[0.89]
PRODUCT_QUALITY('21') Truth=[0.9]
PRODUCT_QUALITY('64') Truth=[0.91]
PRODUCT_QUALITY('20') Truth=[0.9]
PRODUCT_QUALITY('63') Truth=[0.9]
PRODUCT_QUALITY('4') Truth=[0.87]
PRODUCT_QUALITY('3') Truth=[0.84]
PRODUCT_QUALITY('2') Truth=[0.75]
PRODUCT_QUALITY('1') Truth=[0.86]
PRODUCT_QUALITY('8') Truth=[0.89]
PRODUCT_QUALITY('7') Truth=[0.26]
PRODUCT_QUALITY('6') Truth=[0.85]
PRODUCT_QUALITY('5') Truth=[0.89]
PRODUCT_QUALITY('0') Truth=[0.87]
# Atoms: 270
